,Film,Year
0,The Godfather,1972
1,Citizen Kane,1941
2,Casablanca,1942
3,"The Godfather, Part II",1974
4,Singin' in the Rain,1952
5,Psycho,1960
6,Rear Window,1954
7,Apocalypse Now,1979
8,2001: A Space Odyssey,1968
9,Seven Samurai,1954
10,Vertigo,1958
11,Sunset Blvd,1950
12,Modern Times,1936
13,Lawrence of Arabia,1962
14,North by Northwest,1959
15,Star Wars,1977
16,Parasite,2019
17,Schindler's List,1993
18,Lord of the Rings: The Fellowship of the Ring,2001
19,Shawshank Redemption,1994
20,It's a Wonderful Life,1946
21,Pulp Fiction,1994
22,Avengers: Endgame,2019
23,City Lights,1931
24,One Flew Over the Cuckoo's Nest,1975
25,Goodfellas,1990
26,Raiders of the Lost Ark,1981
27,12 Angry Men,1957
28,The Silence of the Lambs,1991
29,Taxi Driver,1976
30,Saving Private Ryan,1998
31,E.T. the Extra Terrestrial,1982
32,Alien,1979
33,Spider-Man: Into the Spider-verse,2018
34,Blade Runner,1982
35,Double Indemnity,1944
36,The Dark Knight,2008
37,The Wizard of Oz,1939
38,Star Wars: Episode V- The Empire Strikes Back,1980
39,The Searchers,1956
40,Mad Max: Fury Road,2015
41,Inception,2010
42,Lord of the Rings: Return of the King,2003
43,The Matrix,1999
44,Fight Club,1999
45,Back to the Future,1985
46,It Happened One Night,1934
47,"The Good, the Bad, and the Ugly",1966
48,Lord of the Rings: The Two Towers,2002
49,All About Eve,1950
